problem,n,m,direction,linesearch,start,iterations,nfev,ngev,cpu_time_sec,success,reason
DGO1,1,2,sd,dwolfe,12,500,30546,11393,0.2532435,1,maxIter
DGO1,1,2,sd,qwolfe,13,500,30651,12503,0.294199,1,maxIter
DGO1,1,2,sd,dwolfe,13,500,29805,11195,0.2444962,1,maxIter
DGO1,1,2,sd,qwolfe,14,500,30813,12560,0.2828754,1,maxIter
DGO1,1,2,sd,dwolfe,14,500,30537,11466,0.2457881,1,maxIter
DGO1,1,2,sd,qwolfe,15,500,30708,12542,0.2827387,1,maxIter
DGO1,1,2,sd,dwolfe,15,500,30432,11383,0.2457409,1,maxIter
DGO1,1,2,sd,qwolfe,16,500,31326,12757,0.2767289,1,maxIter
DGO1,1,2,sd,dwolfe,16,500,30345,11343,0.2431876,1,maxIter
DGO1,1,2,sd,qwolfe,17,500,30831,12582,0.2739151,1,maxIter
DGO1,1,2,sd,dwolfe,17,500,30906,11463,0.2440466,1,maxIter
DGO1,1,2,sd,qwolfe,18,500,31086,12717,0.2738332,1,maxIter
DGO1,1,2,sd,dwolfe,18,500,30885,11510,0.2528951,1,maxIter
DGO1,1,2,sd,qwolfe,19,500,30324,12404,0.2833219,1,maxIter
DGO1,1,2,sd,dwolfe,19,500,30591,11428,0.2431051,1,maxIter
DGO1,1,2,sd,qwolfe,20,500,30558,12485,0.2806467,1,maxIter
DGO1,1,2,sd,dwolfe,20,500,30615,11380,0.2471489,1,maxIter
DGO1,1,2,sd,qwolfe,21,500,31092,12668,0.2830705,1,maxIter
DGO1,1,2,sd,dwolfe,21,500,30405,11400,0.2621708,1,maxIter
DGO1,1,2,sd,qwolfe,22,500,30354,12371,0.2988326,1,maxIter
DGO1,1,2,sd,dwolfe,22,500,30183,11291,0.2659974,1,maxIter
DGO1,1,2,sd,qwolfe,23,500,30381,12399,0.2945253,1,maxIter
DGO1,1,2,sd,dwolfe,23,500,30468,11365,0.2637221,1,maxIter
DGO1,1,2,sd,qwolfe,24,500,30795,12574,0.2919063,1,maxIter
DGO1,1,2,sd,dwolfe,24,500,30519,11364,0.2487591,1,maxIter
DGO1,1,2,sd,qwolfe,25,500,30954,12549,0.277854,1,maxIter
DGO1,1,2,sd,dwolfe,25,500,29949,11199,0.2480068,1,maxIter
DGO1,1,2,sd,qwolfe,26,500,30636,12488,0.2834385,1,maxIter
DGO1,1,2,sd,dwolfe,26,500,30360,11374,0.2473319,1,maxIter
DGO1,1,2,sd,qwolfe,27,500,29997,12404,0.2746426,1,maxIter
DGO1,1,2,sd,dwolfe,27,500,30747,11460,0.2620473,1,maxIter
DGO1,1,2,sd,qwolfe,28,500,31131,12790,0.3126537,1,maxIter
DGO1,1,2,sd,dwolfe,28,500,30432,11402,0.2512897,1,maxIter
DGO1,1,2,sd,qwolfe,29,500,31191,12720,0.285643,1,maxIter
DGO1,1,2,sd,dwolfe,29,500,30774,11476,0.2501742,1,maxIter
DGO1,1,2,sd,qwolfe,30,500,31182,12697,0.2877263,1,maxIter
DGO1,1,2,sd,dwolfe,30,500,30600,11401,0.2516634,1,maxIter
DGO1,1,2,sd,qwolfe,31,500,31200,12726,0.2806093,1,maxIter
DGO1,1,2,sd,dwolfe,31,500,30531,11389,0.2478013,1,maxIter
DGO1,1,2,sd,qwolfe,32,500,31647,12907,0.2781182,1,maxIter
DGO1,1,2,sd,dwolfe,32,500,30603,11422,0.2512339,1,maxIter
DGO1,1,2,sd,qwolfe,33,500,30987,12571,0.2806489,1,maxIter
DGO1,1,2,sd,dwolfe,33,500,30432,11412,0.2485443,1,maxIter
DGO1,1,2,sd,qwolfe,34,500,30867,12589,0.2806739,1,maxIter
DGO1,1,2,sd,dwolfe,34,500,30837,11486,0.2442615,1,maxIter
DGO1,1,2,sd,qwolfe,35,500,31059,12664,0.2823769,1,maxIter
DGO1,1,2,sd,dwolfe,35,500,30456,11390,0.2502452,1,maxIter
DGO1,1,2,sd,qwolfe,36,500,32022,12983,0.2803071,1,maxIter
DGO1,1,2,sd,dwolfe,36,500,30291,11298,0.2490381,1,maxIter
DGO1,1,2,sd,qwolfe,37,500,30717,12562,0.2857918,1,maxIter
DGO1,1,2,sd,dwolfe,37,500,29940,11213,0.2640773,1,maxIter
DGO1,1,2,sd,qwolfe,38,500,31845,13008,0.288583,1,maxIter
DGO1,1,2,sd,dwolfe,38,500,30711,11378,0.2462731,1,maxIter
DGO1,1,2,sd,qwolfe,39,500,31524,12865,0.2845681,1,maxIter
DGO1,1,2,sd,dwolfe,39,500,30813,11513,0.2566685,1,maxIter
DGO1,1,2,sd,qwolfe,40,500,31017,12622,0.2883565,1,maxIter
DGO1,1,2,sd,dwolfe,40,500,30558,11438,0.2574041,1,maxIter
DGO1,1,2,sd,qwolfe,41,500,30057,12257,0.2768316,1,maxIter
DGO1,1,2,sd,dwolfe,41,500,30219,11332,0.2554747,1,maxIter
DGO1,1,2,sd,qwolfe,42,500,31131,12671,0.284571,1,maxIter
DGO1,1,2,sd,dwolfe,42,500,30951,11501,0.2498922,1,maxIter
DGO1,1,2,sd,qwolfe,43,500,31113,12725,0.2833801,1,maxIter
DGO1,1,2,sd,dwolfe,43,500,30987,11473,0.24881,1,maxIter
DGO1,1,2,sd,qwolfe,44,500,30606,12449,0.2761124,1,maxIter
DGO1,1,2,sd,dwolfe,44,500,30864,11486,0.2445391,1,maxIter
DGO1,1,2,sd,qwolfe,45,500,30468,12365,0.2788048,1,maxIter
DGO1,1,2,sd,dwolfe,45,500,30681,11432,0.2531798,1,maxIter
DGO1,1,2,sd,qwolfe,46,500,30504,12474,0.2865528,1,maxIter
DGO1,1,2,sd,dwolfe,46,500,30480,11370,0.2561138,1,maxIter
DGO1,1,2,sd,qwolfe,47,500,30999,12659,0.2817454,1,maxIter
DGO1,1,2,sd,dwolfe,47,500,30279,11291,0.2532829,1,maxIter
DGO1,1,2,sd,qwolfe,48,500,30738,12540,0.2836602,1,maxIter
DGO1,1,2,sd,dwolfe,48,500,30561,11417,0.2721109,1,maxIter
DGO1,1,2,sd,qwolfe,49,500,30840,12587,0.2917443,1,maxIter
DGO1,1,2,sd,dwolfe,49,500,30483,11368,0.2540128,1,maxIter
DGO1,1,2,sd,qwolfe,50,500,30771,12581,0.3032071,1,maxIter
DGO1,1,2,sd,dwolfe,50,500,30594,11425,0.2598421,1,maxIter
DGO1,1,2,sd,qwolfe,51,500,30447,12469,0.2822951,1,maxIter
DGO1,1,2,sd,dwolfe,51,500,30483,11363,0.252177,1,maxIter
DGO1,1,2,sd,qwolfe,52,500,30429,12411,0.2842625,1,maxIter
DGO1,1,2,sd,dwolfe,52,500,30372,11401,0.2420191,1,maxIter
DGO1,1,2,sd,qwolfe,53,500,30948,12606,0.2836271,1,maxIter
DGO1,1,2,sd,dwolfe,53,500,30462,11393,0.2455707,1,maxIter
DGO1,1,2,sd,qwolfe,54,500,30171,12326,0.2806834,1,maxIter
DGO1,1,2,sd,dwolfe,54,500,30045,11239,0.2473318,1,maxIter
DGO1,1,2,sd,qwolfe,55,500,31332,12862,0.2800931,1,maxIter
DGO1,1,2,sd,dwolfe,55,500,30621,11452,0.2667657,1,maxIter
DGO1,1,2,sd,qwolfe,56,500,30717,12574,0.2798272,1,maxIter
